시설명,시도,시군구,총길이,총폭,경간수,최대경간장,상부구조,설계하중,교통량,준공년도,준공후경과년수
가남JCT육교(강릉),경기도,여주군,225,16.2,5,45,강박스거더교,DB-24,24562,1994,29
가남JCT육교(인천),경기도,여주군,225,16.2,5,45,강박스거더교,DB-24,24562,1994,29
가남교(강릉0),경기도,여주군,25,19.3,1,25,프리플렉스거더교,DB-24,61826,2003,20
가남교(강릉1),경기도,여주군,25,5.6,1,25,PSCI거더교,DB-24,61826,2010,13
가남교(인천),경기도,여주군,25,19.3,1,25,프리플렉스거더교,DB-24,61826,2003,20
가산교(강릉),경기도,이천시,10,20.1,1,10,라멘교,DB-24,61826,2003,20
가산교(인천),경기도,이천시,10,20.6,1,10,라멘교,DB-24,61826,2003,20
가야교(강릉),경기도,여주군,13.9,12.5,1,13.9,라멘교,DB-24,24562,1999,24
가야교(인천),경기도,여주군,13.9,12.5,1,13.9,라멘교,DB-24,24562,1994,29
가학교,경기도,광명시,160,26,4,50,PSCI거더교,DB-24,29864,2016,7
각평육교(강릉0),경기도,이천시,12,12.1,1,12,라멘교,DB-24,58455,1994,29
각평육교(강릉1),경기도,이천군,12,7.2,1,12,라멘교,DB-24,58455,2011,12
각평육교(인천0),경기도,이천시,12,12.1,1,12,라멘교,DB-24,58455,1994,29
각평육교(인천1),경기도,이천군,12,7.2,1,12,라멘교,DB-24,58455,2011,12
갈매1육교,경기도,구리시,50.2,4.9,1,50.2,PSCI거더교,기타,28404,2017,6
갈매2육교,경기도,구리시,50.1,20.9,1,50.1,강박스거더교,DB-24,37338,2017,6
갈매3육교,경기도,구리시,45.6,12.5,1,45.6,PSCI거더교,DB-24,37338,2017,6
갈매3육교,경기도,구리시,45.6,12.5,1,45.6,PSCI거더교,DB-24,37338,2017,6
갈매교(구리),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,28404,2017,6
갈매교(구리),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,37338,2017,6
갈매교(포천),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,37338,2017,6
갈매교(포천),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,37338,2017,6
갈전1교(제천),경기도,안성시,30.1,11.8,1,30.1,PSCI거더교,DB-24,29545,2008,15
갈전1교(평택),경기도,안성시,30.1,12.5,1,30.1,PSCI거더교,DB-24,29545,2008,15
갈전2교(제천),경기도,안성시,35,11.8,1,35,PSCI거더교,DB-24,29545,2008,15
갈전2교(평택),경기도,안성시,35,12.5,1,35,PSCI거더교,DB-24,29545,2008,15
갈전안성천교(제천),경기도,안성시,150.6,11.8,5,30.1,PSCI거더교,DB-24,29545,2008,15
갈전안성천교(평택),경기도,안성시,150.6,12.5,5,30.1,PSCI거더교,DB-24,29545,2008,15
갈전육교,경기도,안성시,43.5,30,3,24.5,라멘교,DB-24,29545,2008,15
감암1교(구리),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암1교(구리),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암1교(포천),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암1교(포천),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암2교(구리),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암2교(구리),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암2교(포천),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암2교(포천),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암3교(구리),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감암3교(구리),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감암3교(포천),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감암3교(포천),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감일1교(구리0),경기도,하남시,30.1,12,1,30.1,PSCI거더교,DB-24,108430,1991,32
감일1교(구리1),경기도,하남시,30.1,7.8,1,30.1,PSCI거더교,DB-24,108430,2002,21
감일1교(판교0),경기도,하남시,30.1,12.1,1,30.1,PSCI거더교,DB-24,108430,1991,32
감일1교(판교1),경기도,하남시,30.1,13.4,1,30.1,PSCI거더교,DB-24,108430,2002,21
감일1육교,경기도,하남시,100.1,8.4,2,50,강박스거더교,DB-24,81126,2002,21
감일2교(구리0),경기도,하남시,40.7,12,1,40.7,프리플렉스거더교,DB-24,108430,1991,32
감일2교(구리1),경기도,하남시,41.2,14.5,1,41.2,프리플렉스거더교,DB-24,108430,2002,21
감일2교(판교0),경기도,하남시,40.7,12,1,40.7,프리플렉스거더교,DB-24,108430,1991,32
감일2교(판교1),경기도,하남시,41.2,7.6,1,41.2,프리플렉스거더교,DB-24,108430,2002,21
감일2육교,경기도,하남시,100.1,8,2,50,강박스거더교,DB-24,81126,2002,21
감일3교(구리0),경기도,하남시,210.4,11.9,7,30.2,PSCI거더교,DB-24,108430,1991,32
감일3교(구리1),경기도,하남시,210.4,17.4,7,30.2,PSCI거더교,DB-24,108430,2002,21
감일3교(판교),경기도,하남시,210.4,18.7,7,30.2,PSCI거더교,DB-24,108430,1991,32
감일4교(구리0),경기도,하남시,9.6,14.4,1,9.6,라멘교,DB-24,81126,1991,32
감일4교(구리1),경기도,하남시,9.6,7.3,1,9.6,라멘교,DB-24,81126,2002,21
감일4교(판교0),경기도,하남시,9.6,20.5,1,9.6,라멘교,DB-24,81126,1991,32
감일4교(판교1),경기도,하남시,9.6,12.6,1,9.6,라멘교,DB-24,81126,2002,21
감일5교(구리0),경기도,하남시,41.1,15,1,41.1,프리플렉스거더교,DB-24,81126,1991,32
감일5교(구리1),경기도,하남시,41.1,14.1,1,41.1,프리플렉스거더교,DB-24,81126,2002,21
감일5교(판교),경기도,하남시,41.1,11.9,1,41.1,프리플렉스거더교,DB-24,81126,1991,32
강동대교(구리0),서울특별시,강동구,1126,12.6,13,125,PSC박스거더교,DB-24,84424,1991,32
강동대교(구리1),서울특별시,강동구,1126,12.6,13,125,PSC박스거더교,DB-24,84424,1991,32
강동대교(판교),서울특별시,강동구,1126,19.8,13,125,PSC박스거더교,DB-24,84424,2002,21
강문교(제천),경기도,안성시,150,17.8,3,60,강박스거더교,DB-24,36471,2002,21
강문교(평택),경기도,안성시,150,15.7,3,60,강박스거더교,DB-24,36471,2002,21
강일IC1교,서울특별시,강동구,79.1,11.6,3,31,PSC슬래브교,DB-24,84424,2009,14
강일IC2교,서울특별시,강동구,141.1,8,3,47.1,강박스거더교,DB-24,84424,2002,21
강일IC3교,서울특별시,강동구,280.1,8.6,8,35.1,PSC박스거더교,DB-24,84424,1991,32
강일IC4교,서울특별시,강동구,175.2,8.6,5,35.1,PSC박스거더교,DB-24,84424,2002,21
강일교(구리0),서울특별시,강동구,90.2,11.9,3,30.1,PSCI거더교,DB-24,119980,1987,36
강일교(구리1),서울특별시,강동구,90.2,11.5,3,30.1,PSCI거더교,DB-24,119980,2001,22
강일교(판교0),서울특별시,강동구,90.2,11.9,3,30.1,PSCI거더교,DB-24,119980,1987,36
강일교(판교1),서울특별시,강동구,90.2,10.5,3,30.1,프리플렉스거더교,DB-24,119980,2001,22
강천1교(강릉),경기도,여주군,120,12.9,4,30,PSCI거더교,DB-24,20826,1994,29
강천1교(인천),경기도,여주군,120,12.9,4,30,PSCI거더교,DB-24,20826,1994,29
개매교(강릉0),경기도,군포시,39.1,12,3,15,RC슬래브교,DB-24,65628,1991,32
개매교(강릉1),경기도,군포시,38.8,6.3,3,14.9,RC슬래브교,DB-24,65628,2001,22
개매교(인천0),경기도,군포시,39.1,12,3,15,RC슬래브교,DB-24,65628,1991,32
개매교(인천1),경기도,군포시,38.8,6,3,14.9,RC슬래브교,DB-24,65628,2001,22
개화교,서울특별시,강서구,360.6,32.2,12,30.1,PSCI거더교,DB-24,18486,2000,23
개화육교(상행선),서울특별시,강서구,430.1,16.2,8,70,강박스거더교,DB-24,18486,2000,23
개화육교(하행선),경기도,김포시,465.1,16.2,9,70,강박스거더교,DB-24,18486,2000,23
거모1교(강릉),경기도,시흥시,50.1,15.6,1,50.1,강박스거더교,DB-24,63701,1994,29
거모1교(인천),경기도,시흥시,50.1,15.6,1,50.1,강박스거더교,DB-24,63701,1994,29
거모2교(강릉),경기도,시흥시,10,15.6,1,10,라멘교,DB-24,63701,1994,29
거모2교(인천),경기도,시흥시,10,15.6,1,10,라멘교,DB-24,63701,1994,29
거모3교(강릉),경기도,시흥시,395.2,16.8,9,45,PSC박스거더교,DB-24,56092,1994,29
거모3교(인천),경기도,시흥시,395.2,16.8,9,45,PSC박스거더교,DB-24,56092,1994,29
거모4교(강릉),경기도,시흥시,210,15.8,7,30,PSCI거더교,DB-24,56092,1994,29
거모4교(인천),경기도,시흥시,210,15.8,7,30,PSCI거더교,DB-24,56092,1994,29
거모5교,경기도,시흥시,30,31.4,1,30,PSCI거더교,DB-24,32968,2013,10
거모6교,경기도,시흥시,12,31.7,1,12,라멘교,DB-24,32968,2013,10
거물대천교,경기도,김포시,45,24.3,1,45,PSCI거더교,DB-24,13027,2017,6
거여고가교(구리0),서울특별시,송파구,962.8,12,20,50.1,PSC박스거더교,DB-24,108430,1991,32
거여고가교(구리1),서울특별시,송파구,962.8,12,20,50.1,PSC박스거더교,DB-24,108430,1991,32
거여고가교(판교),서울특별시,송파구,962.8,19.1,20,50.1,PSC박스거더교,DB-24,108430,2002,21
건건교(목포),경기도,안산시 상록구,265.3,16.1,5,55,강박스거더교,DB-24,58390,1996,27
건건교(서울),경기도,안산시 상록구,265.3,16.1,5,55,강박스거더교,DB-24,58390,1996,27
건업1교(광주),경기도,광주시,70.1,12.4,2,35,PSCI거더교,DB-24,28346,2016,7
