년(Annual),계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용
년(Annual),,,,,,,,,,,,,,,,,,,,
1990,3394803,33996,3038769,322038,2074922,13524,1902067,159331,383738,6120,332298,45320,924647,13830,800908,109909,11496,522,3496,7478
1994,7404347,43553,6943554,417240,5148713,13933,4930238,204542,582069,8462,517748,55859,1644646,19129,1489834,135683,28919,2029,5734,21156
1995,8468901,45537,7974728,448636,6006290,13773,5777957,214560,612584,9217,544066,59301,1816582,20472,1646664,149446,33445,2075,6041,25329
1996,9553092,47093,9025544,480455,6893633,13740,6653422,226471,663011,9890,589766,63355,1962564,21334,1776024,165206,33884,2129,6332,25423
1997,10413427,50075,9860052,503300,7586474,15267,7335413,235794,719127,10157,644206,64764,2072256,22444,1873938,175874,35570,2207,6495,26868
1998,10469599,49990,9908561,511048,7580926,15181,7323555,242190,749320,10373,672872,66075,2104683,22219,1905822,176642,34670,2217,6312,26141
1999,11163728,49665,10550225,563838,7837206,15079,7566777,255350,993169,10815,910729,71625,2298116,21584,2066521,210011,35237,2187,6198,26852
2000,12059276,50409,11388961,619906,8083926,15384,7798452,270090,1427221,11225,1338327,77669,2510992,21616,2245679,243697,37137,2184,6503,28450
2001,12914115,51723,12193837,668555,8889327,15836,8587556,285935,1257008,11186,1165374,80448,2728405,22527,2433920,271958,39375,2174,6987,30214
2002,13949440,53396,13172886,723158,9737428,16724,9414360,306344,1275319,11319,1181480,82520,2894412,23162,2569427,301823,42281,2191,7619,32471
2003,14586795,55238,13780768,750789,10278923,17361,9941907,319655,1246629,11488,1153511,81630,3016407,24092,2677451,314864,44836,2297,7899,34640
2004,14934092,56529,14110608,766955,10620557,17933,10273673,328951,1204313,11606,1111979,80728,3062314,24638,2716572,321104,46908,2352,8384,36172
2005,15396715,57563,14555187,783965,11122199,18932,10759393,343874,1124645,11914,1030763,81968,3102171,24480,2755991,321700,47700,2237,9040,36423
2006,15895234,59197,15018668,817369,11606971,19817,11219435,367719,1105636,12358,1007723,85555,3133201,24855,2781552,326794,49426,2167,9958,37301
2007,16428177,60684,15496374,871119,12099779,20714,11674085,404980,1104949,12650,999807,92492,3171351,25230,2811537,334584,52098,2090,10945,39063
2008,16794219,62302,15820627,911290,12483809,21388,12025715,436706,1096698,13269,987448,95981,3160338,25535,2796092,338711,53374,2110,11372,39892
2009,17325210,64484,16330410,930316,13023819,22267,12551833,449719,1080687,14177,967890,98620,3166512,25970,2798797,341745,54192,2070,11890,40232
2010,17941356,66272,16901013,974071,13631769,22872,13124972,483925,1049725,15039,931740,102946,3203808,26306,2831697,345805,56054,2055,12604,41395
2011,18437373,68689,17357232,1011452,14136478,24244,13601821,510413,1015391,15667,893717,106007,3226421,26680,2848544,351197,59083,2098,13150,43835
2012,18870533,71115,17747328,1052090,14577193,25295,14010618,541280,986833,16428,860074,110331,3243924,27177,2862737,354010,62583,2215,13899,46469
2013,19400864,72781,18202292,1125791,15078354,25409,14459653,593292,970805,17270,837173,116362,3285707,27768,2890373,367566,65998,2334,15093,48571
2014,20117955,75363,18829793,1212799,15747171,26521,15060131,660519,947012,18123,806177,122712,3353683,28321,2946779,378583,70089,2398,16706,50985
